x,y,species max
437.0,437.0,0.12535079
438.0,438.0,0.58794695
439.0,439.0,0.19978707
440.0,440.0,0.0051042116
441.0,441.0,0.05935764
442.0,442.0,0.16077195
443.0,443.0,0.04840201
444.0,444.0,0.251003
445.0,445.0,4.5763593E-10
446.0,446.0,0.76979584
447.0,447.0,1.4821335E-8
448.0,448.0,0.0038484621
449.0,449.0,1.5787385E-6
450.0,450.0,0.0654596
451.0,451.0,0.11105373
452.0,452.0,0.05650419
453.0,453.0,0.007698358
454.0,454.0,0.024789713
455.0,455.0,0.31868666
456.0,456.0,0.11751619
457.0,457.0,0.01519919
458.0,458.0,0.14858638
459.0,459.0,0.23000032
460.0,460.0,0.32275113
461.0,461.0,8.635411E-6
462.0,462.0,0.50421
463.0,463.0,0.15110092
464.0,464.0,0.40856457
465.0,465.0,4.487801E-6
466.0,466.0,2.497392E-5
467.0,467.0,0.30730134
468.0,468.0,0.014300818
469.0,469.0,0.3777039
470.0,470.0,1.984726E-6
471.0,471.0,0.056175783
472.0,472.0,2.2867691E-7
473.0,473.0,0.31398028
474.0,474.0,4.222625E-4
475.0,475.0,0.28563386
476.0,476.0,0.1695622
477.0,477.0,0.005291615
478.0,478.0,0.019228976
479.0,479.0,0.014301882
480.0,480.0,0.009810918
481.0,481.0,0.10767352
482.0,482.0,0.008680278
483.0,483.0,0.09140843
484.0,484.0,0.03615769
485.0,485.0,6.5928296E-10
486.0,486.0,0.1401583
487.0,487.0,0.035377033
488.0,488.0,0.23420404
489.0,489.0,0.0035810808
490.0,490.0,0.0685603
491.0,491.0,1.9189228E-7
492.0,492.0,0.19908558
493.0,493.0,0.261069
494.0,494.0,0.464394
495.0,495.0,0.24118602
496.0,496.0,1.5896438E-6
497.0,497.0,2.3704271E-4
498.0,498.0,0.072771996
499.0,499.0,0.057913218
500.0,500.0,2.041962E-8
501.0,501.0,0.0018695433
502.0,502.0,1.6481909E-9
503.0,503.0,1.837451E-7
504.0,504.0,7.947623E-7
505.0,505.0,0.4009696
506.0,506.0,0.1514749
507.0,507.0,0.27424875
508.0,508.0,6.042746E-8
509.0,509.0,0.16232939
510.0,510.0,0.21043818
511.0,511.0,4.256312E-8
512.0,512.0,0.84966797
513.0,513.0,0.046301506
514.0,514.0,0.80787116
515.0,515.0,0.0013798788
516.0,516.0,0.2553726
517.0,517.0,0.6008459
518.0,518.0,0.77229935
519.0,519.0,0.06294131
520.0,520.0,1.4179825E-6
521.0,521.0,4.722205E-5
522.0,522.0,0.14298262
523.0,523.0,2.8690668E-8
524.0,524.0,1.5261488E-6
525.0,525.0,0.9188104
526.0,526.0,0.04059209
527.0,527.0,0.0625344
528.0,528.0,0.17907064
529.0,529.0,1.361458E-8
530.0,530.0,0.4004898
531.0,531.0,0.09714993
532.0,532.0,0.2636994
533.0,533.0,3.2598821E-9
534.0,534.0,0.023517834
535.0,535.0,0.29358646
536.0,536.0,0.21781348
537.0,537.0,0.346054
538.0,538.0,0.038899533
539.0,539.0,0.023596387
540.0,540.0,0.004036149
541.0,541.0,2.7475913E-8
542.0,542.0,5.786682E-5
543.0,543.0,0.015573561
544.0,544.0,0.0068940525
545.0,545.0,0.2658785
546.0,546.0,0.0023790887
547.0,547.0,5.635201E-4
548.0,548.0,0.26114547
549.0,549.0,0.006207842
550.0,550.0,0.8237364
551.0,551.0,0.12654558
552.0,552.0,0.97744554
553.0,553.0,0.35778823
554.0,554.0,0.13783452
555.0,555.0,0.018916424
556.0,556.0,0.1591447
557.0,557.0,0.009853066
558.0,558.0,0.25521705
559.0,559.0,0.11212498
560.0,560.0,0.1624998
561.0,561.0,3.880053E-6
562.0,562.0,7.2376145E-7
563.0,563.0,0.012040759
564.0,564.0,0.4080911
565.0,565.0,3.6774632E-6
566.0,566.0,0.17667234
567.0,567.0,0.17006828
568.0,568.0,0.1688041
569.0,569.0,0.12075131
570.0,570.0,2.323074E-5
571.0,571.0,0.18480563
572.0,572.0,0.120146476
573.0,573.0,0.2495219
574.0,574.0,6.850574E-6
575.0,575.0,0.097222075
576.0,576.0,2.4375935E-10
577.0,577.0,0.3406025
578.0,578.0,0.001899296
579.0,579.0,0.13905522
580.0,580.0,0.29953882
581.0,581.0,0.01444513
582.0,582.0,0.17843276
583.0,583.0,1.4372799E-7
584.0,584.0,0.09598352
585.0,585.0,2.9658835E-7
586.0,586.0,1.1200344E-4
587.0,587.0,0.12782533
588.0,588.0,0.012202857
589.0,589.0,0.06730167
590.0,590.0,2.9082516E-6
591.0,591.0,0.01847073
592.0,592.0,0.22174956
593.0,593.0,0.1659486
594.0,594.0,9.064305E-5
595.0,595.0,7.227845E-6
596.0,596.0,0.350999
597.0,597.0,0.03418206
598.0,598.0,1.0573934E-8
599.0,599.0,0.001012052
600.0,600.0,0.016283682
601.0,601.0,0.12488168
602.0,602.0,0.25106728
603.0,603.0,0.04173784
604.0,604.0,0.0038117154
605.0,605.0,0.0011964447
606.0,606.0,0.13566281
607.0,607.0,0.0824031
608.0,608.0,3.076634E-9
609.0,609.0,1.1081671E-5
610.0,610.0,7.123381E-8
611.0,611.0,0.007352197
612.0,612.0,0.13122964
613.0,613.0,7.0568533E-9
614.0,614.0,0.33452925
615.0,615.0,0.27643102
616.0,616.0,2.0410136E-9
617.0,617.0,1.6991251E-7
618.0,618.0,0.055262987
619.0,619.0,0.4423792
620.0,620.0,0.2784904
621.0,621.0,0.17452204
622.0,622.0,0.037610427
623.0,623.0,0.1901301
624.0,624.0,0.0018263009
625.0,625.0,0.49364248
626.0,626.0,0.59450674
627.0,627.0,0.23389572
628.0,628.0,0.14753556
629.0,629.0,0.14616616
630.0,630.0,0.2526338
631.0,631.0,0.0025149635
