"","binomial","CloudMin","Cloud1Q","CloudMed","CloudMea","Cloud3Q","CloudMax"
"125","Chiropterotriton magnipes","127.6  ","138.9  ","144.3  ","144.1  ","149.5  ","160.3  "
"126","Chiropterotriton mosaueri","109  ","109  ","109  ","109  ","109  ","109  "
"127","Chiropterotriton multidentatus"," 99.93  ","114.17  ","125.32  ","127.93  ","145.13  ","162.96  "
"128","Chiropterotriton priscus"," 98.67  ","104.57  ","111.67  ","113.29  ","118.62  ","136.29  "
"129","Cryptotriton alvarezdeltoroi","174.9  ","174.9  ","174.9  ","174.9  ","174.9  ","174.9  "
"130","Cryptotriton monzoni","163.3  ","163.7  ","164.1  ","164.1  ","164.4  ","164.8  "
"131","Cryptotriton nasalis","190.8  ","191.6  ","192.5  ","192.5  ","193.3  ","194.1  "
"132","Cryptotriton sierraminensis","182.3  ","183.4  ","184.9  ","184.5  ","186.0  ","186.0  "
"133","Cryptotriton veraepacis","190.8  ","192.4  ","196.0  ","197.8  ","204.5  ","205.2  "
"134","Dendrotriton bromeliacius","203.6  ","203.6  ","203.6  ","203.6  ","203.6  ","203.6  "
"135","Dendrotriton chujorum","184.7  ","184.7  ","184.7  ","184.7  ","184.7  ","184.7  "
"136","Dendrotriton cuchumatanus","178.9  ","179.6  ","180.2  ","180.2  ","180.9  ","181.5  "
"137","Dendrotriton kekchiorum","180.6  ","190.4  ","194.6  ","193.5  ","198.9  ","202.1  "
"138","Dendrotriton megarhinus","164.7  ","165.9  ","167.0  ","166.6  ","167.7  ","168.0  "
"139","Dendrotriton rabbi","155.6  ","155.6  ","155.6  ","155.6  ","155.6  ","155.6  "
"140","Dendrotriton sanctibarbarus","168.8  ","168.8  ","168.8  ","168.8  ","168.8  ","168.8  "
"141","Dendrotriton xolocalcae","200.1  ","200.1  ","200.1  ","200.1  ","200.1  ","200.1  "
"142","Desmognathus abditus","151.2  ","152.0  ","153.2  ","153.2  ","153.9  ","156.7  "
"143","Desmognathus aeneus","113.1  ","128.6  ","133.6  ","133.0  ","137.9  ","155.7  "
"144","Desmognathus apalachicolae","116.8  ","128.8  ","135.1  ","135.1  ","140.0  ","156.5  "
"145","Desmognathus auriculatus"," 97.6  ","128.0  ","134.5  ","135.2  ","140.3  ","196.3  "
"146","Desmognathus brimleyorum","112.1  ","122.9  ","125.4  ","125.7  ","128.1  ","150.4  "
"147","Desmognathus carolinensis","117.3  ","134.6  ","144.9  ","141.7  ","150.0  ","162.0  "
"148","Desmognathus folkertsi","138  ","138  ","138  ","138  ","138  ","138  "
"149","Desmognathus imitator","130.8  ","140.5  ","143.9  ","144.9  ","147.9  ","164.7  "
"150","Desmognathus marmoratus","113.3  ","137.3  ","144.2  ","144.4  ","152.9  ","170.4  "
"151","Desmognathus monticola","110.3  ","137.6  ","154.2  ","154.4  ","167.2  ","197.1  "
"152","Desmognathus ochrophaeus","149.1  ","174.0  ","186.8  ","183.2  ","193.0  ","203.3  "
"153","Desmognathus ocoee","110.3  ","131.0  ","138.2  ","136.7  ","142.5  ","164.7  "
"154","Desmognathus orestes","121.0  ","150.2  ","153.3  ","152.5  ","158.4  ","171.0  "
"155","Desmognathus quadramaculatus","110.3  ","134.9  ","144.2  ","144.9  ","155.3  ","179.3  "
"156","Desmognathus santeetlah","130.8  ","140.6  ","143.7  ","144.6  ","147.1  ","164.7  "
"157","Desmognathus welteri","147.7  ","154.1  ","158.6  ","158.4  ","162.0  ","171.0  "
"158","Desmognathus wrighti","113.3  ","138.0  ","145.4  ","145.6  ","153.5  ","170.4  "
"159","Ensatina eschscholtzii"," 29.48  "," 59.05  "," 91.62  ","103.94  ","154.66  ","198.55  "
"160","Eurycea chisholmensis","133.3  ","133.3  ","133.3  ","133.3  ","133.3  ","133.3  "
"161","Eurycea cirrigera","102.9  ","131.3  ","139.6  ","144.9  ","158.2  ","195.4  "
"162","Eurycea guttolineata","107.7  ","127.7  ","133.7  ","134.3  ","139.4  ","173.8  "
"163","Eurycea junaluska","130.8  ","140.5  ","143.7  ","144.6  ","146.6  ","164.7  "
"164","Eurycea latitans","112.6  ","119.1  ","129.2  ","128.3  ","134.7  ","155.0  "
"165","Eurycea lucifuga","113.5  ","136.3  ","147.3  ","148.3  ","160.3  ","190.1  "
"166","Eurycea multiplicata","112.1  ","124.5  ","128.1  ","129.5  ","134.0  ","164.8  "
"167","Eurycea nana","143.1  ","143.1  ","143.1  ","143.1  ","143.1  ","143.1  "
"168","Eurycea naufragia","145.3  ","145.3  ","145.3  ","145.3  ","145.3  ","145.3  "
"169","Eurycea neotenes","128.2  ","130.7  ","132.4  ","131.6  ","133.3  ","133.4  "
"170","Eurycea pterophila","129.2  ","130.4  ","131.6  ","132.4  ","134.0  ","136.4  "
"171","Eurycea quadridigitata"," 89.86  ","126.69  ","134.07  ","136.26  ","142.12  ","203.59  "
"172","Eurycea rathbuni","137.5  ","139.4  ","141.4  ","140.7  ","142.3  ","143.1  "
"173","Eurycea sosorum","141.4  ","141.4  ","141.4  ","141.4  ","141.4  ","141.4  "
"174","Eurycea spelaea","113.5  ","128.7  ","133.0  ","132.7  ","136.5  ","164.8  "
"175","Eurycea tonkawae","136.0  ","141.0  ","146.1  ","146.3  ","151.1  ","157.5  "
"176","Eurycea tridentifera","131.5  ","132.1  ","132.8  ","132.5  ","133.1  ","133.3  "
"177","Eurycea troglodytes","117.1  ","130.2  ","136.3  ","137.1  ","145.8  ","153.8  "
"178","Eurycea tynerensis","113.5  ","126.0  ","129.4  ","131.0  ","136.5  ","154.2  "
"179","Eurycea wallacei","155.4  ","155.4  ","155.4  ","155.4  ","155.4  ","155.4  "
"180","Eurycea waterlooensis","141.4  ","141.4  ","141.4  ","141.4  ","141.4  ","141.4  "
"181","Eurycea wilderae","110.3  ","134.9  ","142.6  ","142.4  ","151.9  ","170.4  "
"182","Gyrinophilus gulolineatus","133.1  ","138.7  ","143.9  ","143.7  ","147.3  ","155.6  "
"183","Gyrinophilus palleucus","127.0  ","140.2  ","145.4  ","146.7  ","153.2  ","165.5  "
"184","Gyrinophilus porphyriticus","110.3  ","153.6  ","175.3  ","170.6  ","189.8  ","207.0  "
"185","Gyrinophilus subterraneus","167.4  ","167.4  ","167.4  ","167.4  ","167.4  ","167.4  "
"186","Hemidactylium scutatum","110.3  ","142.2  ","173.4  ","166.0  ","186.1  ","204.4  "
