"","binomial","elevationMin","elevation1Q","elevationMed","elevationMea","elevation3Q","elevationMax","WC1Min","WC11Q","WC1Med","WC1Mea","WC13Q","WC1Max","WC2Min","WC21Q","WC2Med","WC2Mea","WC23Q","WC2Max","WC3Min","WC31Q","WC3Med","WC3Mea","WC33Q","WC3Max","WC4Min","WC41Q","WC4Med","WC4Mea","WC43Q","WC4Max","WC5Min","WC51Q","WC5Med","WC5Mea","WC53Q","WC5Max","WC6Min","WC61Q","WC6Med","WC6Mea","WC63Q","WC6Max","WC7Min","WC71Q","WC7Med","WC7Mea","WC73Q","WC7Max","WC8Min","WC81Q","WC8Med","WC8Mea","WC83Q","WC8Max","WC9Min","WC91Q","WC9Med","WC9Mea","WC93Q","WC9Max","WC10Min","WC101Q","WC10Med","WC10Mea","WC103Q","WC10Max","WC11Min","WC111Q","WC11Med","WC11Mea","WC113Q","WC11Max","WC12Min","WC121Q","WC12Med","WC12Mea","WC123Q","WC12Max","WC13Min","WC131Q","WC13Med","WC13Mea","WC133Q","WC13Max","WC14Min","WC141Q","WC14Med","WC14Mea","WC143Q","WC14Max","WC15Min","WC151Q","WC15Med","WC15Mea","WC153Q","WC15Max","WC16Min","WC161Q","WC16Med","WC16Mea","WC163Q","WC16Max","WC17Min","WC171Q","WC17Med","WC17Mea","WC173Q","WC17Max","WC18Min","WC181Q","WC18Med","WC18Mea","WC183Q","WC18Max","WC19Min","WC191Q","WC19Med","WC19Mea","WC193Q","WC19Max"
"31","Plethodon wehrlei","21","368","505","531.8","649","1490","6","8","10","9.834","11","16","10","11","12","12.08","13","14","28","32","34","33.7","35","39","728","822","873","866.3","909","995","22","25","27","26.76","28","33","-14","-11","-9","-9.123","-7","-2","30","35","36","35.87","37","38","7","17","18","18.53","19","25","-5","-3","-1","-0.2669","1","19","17","19","20","20.22","21","25","-6","-3","-1","-1.155","1","6","848","1023","1092","1096","1156","1449","94","108","116","116.3","123","155","43","63","70","70.75","78","104","8","13","15","15.23","17","26","267","305","323","323.5","339","420","147","205","225","227.7","250","326","259","297","316","315.8","335","396","150","206","227","229.6","250","350"
"32","Aneides aeneus","41","264","365","427","554","1616","7","11","13","12.81","15","17","10","12","13","12.86","13","15","30","35","37","36.51","38","42","661","784","809","812.5","841","920","22","29","30","29.94","32","34","-11","-7","-5","-5.321","-3","1","28","35","35","35.27","36","38","2","9","17","15.18","20","23","-3","1","14","12.37","20","23","16","21","22","22.59","24","27","-3","1","2","2.549","5","8","900","1153","1272","1304","1456","2082","94","122","132","139.1","163","211","55","76","82","83.64","88","153","7","13","15","14.82","17","22","272","337","361","378.2","430","558","174","252","273","274.1","290","476","259","315","328","331.5","343","497","174","257","306","322.3","400","526"
"33","Aneides ferreus","-1","250","484","573","826","2511","0","8","10","9.547","11","14","4","8","10","9.972","11","16","26","39","44","43.24","47","63","207","437","503","486.7","544","704","11","18","20","20.71","23","29","-10","-4","-2","-2.286","-1","5","13","20","23","22.99","26","35","-3","3","5","4.628","6","10","7","14","15","15.53","17","21","7","14","16","15.98","18","21","-4","3","5","4.213","6","10","502","1328","1676","1773","2129","3637","82","232","286","295.6","352","613","2","11","18","25.14","32","100","41","63","68","68.7","74","94","230","653.8","812","835.4","995","1660","10","61","91","114.3","151","361","18","68","97","123.6","158","420","203","604","744","763.4","911","1423"
"34","Aneides flavipunctatus","-2","311","569","657.5","933","2163","4","11","12","11.82","13","17","7","11","13","12.5","14","17","37","45","48","49.16","53","66","201","417","513","504.3","600","761","15","22","24","24.48","27","34","-9","-3","-1","-1.236","1","5","13","22","26","25.72","29","36","-1","5","7","6.79","8","12","10","16","18","17.93","20","27","11","17","18","18.45","20","27","-1","5","7","6.348","8","11","344","964","1196","1213","1487","2136","69","179","226","223.7","267","369","1","3","4","5.237","8","17","60","79","83","83.21","89","96","179","493","614","621.4","758","1050","5","17","33","33.81","47","87","8","28","47","44.48","58","95","174","478","595","595.1","713","997"
"35","Aneides hardii","1103","1364","1609","1681","1925","3147","6","12","14","13.72","15","17","11","16","18","17.31","18","20","40","45","46","45.75","47","49","628","741","772","760.7","793","828","20","31","33","32.25","35","37","-9","-7","-5","-5.584","-4","-3","28","36","38","37.84","40","42","14","21","23","22.19","24","26","3","6","9","8.958","11","16","14","22","23","23.11","25","27","-1","3","5","4.471","6","7","207","296","332","361.3","415","710","42","60","68","73.35","84","136","4","6","9","9.793","13","23","59","67","69","68.96","72","78","109","154","174","187.3","216","356","18","25","33","37.27","47","96","95","135","157","168.3","195","320","29","38","43","50.69","58","121"
"36","Aneides lugubris","-2","179","368","460.7","608","3550","-1","13","15","14.68","16","19","7","13","14","14.33","16","22","38","48","53","52.55","56","70","160","396","494","492.6","603","729","16","26","29","28.35","31","36","-13","-2","0","0.8415","3","10","12","24","28","27.52","32","39","-6","8","9","9.544","11","15","6","18","21","20.31","23","26","8","19","22","21.04","23","26","-7","8","9","9.117","11","15","171","379","534","673","887.2","2020","33","76","108","131.7","175","363","0","1","2","1.981","2","22","63","86","89","89.15","93","110","92","214","293","360.5","467.2","1044","2","6","9","12.17","15","74","3","12","16","20.82","26","86","90","202","284","350.9","465","997"
"37","Aneides vagrans","-1","239","444","503.1","716.5","2270","2","7","8","8.634","11","14","4","7","8","8.564","10","16","26","33","36","39.71","47","63","207","435","492","475.3","532","673","14","17","18","19.18","21","28","-8","-4","-2","-2.243","-1","5","14","19","21","21.41","23","33","-3","2","3","3.815","6","10","10","13","14","14.5","16","21","10","13","15","14.88","16","21","-3","1","3","3.379","6","10","694","1516","2049","2085","2658","3639","117","267","334","339.5","410","613","2","7","45","40.15","64","100","41","56","62","66.26","79","94","340","759","938","951.2","1145","1660","10","48","172","160.4","249.5","361","18","62","173","172","258","420","290","691","839","850.9","1006","1369"
"38","Aquiloeurycea cephalica","406","1620","2156","2120","2577","4521","6","13","16","16.08","19","23","10","13","14","14.24","15","17","54","66","72","70.43","75","79","100","175","205","211.7","240","349","13","22","26","25.72","29","34","-3","3","5","5.45","8","12","13","19","21","20.3","22","23","6","14","17","17.36","20","26","4","11","14","13.62","17","20","7","15","18","18.39","21","27","4","11","13","13.21","16","19","348","563.8","766","815.6","998.2","1870","60","110","146.5","160.5","203","351","4","8","11","13.59","16","43","60","75","78","79.77","84","108","158","275","375","414.2","523.2","944","17","32","40","47.8","53","139","125","170","218","239.2","300","593","17","32","42","49.6","56","151"
"39","Aquiloeurycea galeanae","1477","2027","2273","2279","2472","2941","14","14","15","15.67","16.5","19","14","15.5","16","16.19","17","19","60","68","68","67.95","69","71","244","261.5","271","274.7","279","342","24","26","26","26.95","28","32","1","2","3","3.116","4","7","21","23","24","23.81","24","28","16","16","17","17.98","19","22","11","11.5","12","12.58","13.5","16","16","17","18","18.6","20","23","10","11","11","11.86","13","15","374","458","498","497.2","544.5","603","50","69","80","79.81","91","112","8","11","13","12.84","14","18","51","58","62","60.72","63","71","147","193.5","219","219.6","242","281","36","44","50","49.28","53","63","145","179","198","195.7","210","233","40","46.5","52","51.19","55","66"
"40","Aquiloeurycea quetzalanensis","524","719","914","881.3","1060","1206","19","19.5","20","20.33","21","22","9","9.5","10","9.667","10","10","53","54.5","56","55.33","56.5","57","233","244","255","256.7","268.5","282","26","27","28","28","29","30","10","10.5","11","11","11.5","12","16","16.5","17","17","17.5","18","20","21","22","22","23","24","16","16.5","17","17","17.5","18","21","22","23","22.67","23.5","24","15","15.5","16","16.33","17","18","1902","1982","2062","2034","2100","2138","358","384","410","394.3","412.5","415","59","62.5","66","64.33","67","68","65","65.5","66","66","66.5","67","889","920","951","945","973","995","184","193.5","203","200","208","213","627","636","645","652.7","665.5","686","198","210.5","223","218.7","229","235"
"41","Batrachoseps attenuatus","-5","156","340","375.7","537.2","1641","8","12","14","13.57","15","17","7","11","14","13.11","15","18","38","47","50","50.68","54","66","201","397","489","489.9","601","715","18","23","26","26.19","30","34","-4","-2","0","0.04982","1","5","13","22","27","26.13","31","36","4","8","8","8.445","9","12","13","17","19","19.36","22","26","14","17","20","19.84","22","26","3","7","8","8.022","9","11","291","698.8","999","1082","1458","2166","58","141","202","205.5","264","382","1","2","2","3.433","4","15","71","85","88","87.23","91","98","150","374","533","561.7","748","1074","4","10","14","22.84","30","95","5","15","23","32.46","48","105","150","370","529","542.6","706.2","998"
"42","Batrachoseps campi","711","1786","2307","2076","2467","2786","6","7","8","9.45","11","17","10","12","13","12.6","13","14","37","37","38.5","38.5","39.25","41","678","706","728.5","747.4","778.5","875","21","23.75","24.5","26.3","28.25","36","-8","-7","-6","-5.85","-5.75","-2","28","30","32","32.35","34.25","38","-1","0","0","1.35","2","9","11","13","14","15.95","18","26","15","16.75","17","19","20.25","28","-1","0","0","1.05","2","7","117","224.8","334.5","304.1","381.8","441","22","38","57","52.05","64.5","76","3","6","8","7.55","9","11","54","57.75","60","59.4","61.25","63","58","102.5","154","140.4","175.8","204","12","24.75","33.5","30.6","36.25","43","12","26.75","45.5","39.25","50","58","56","102.5","154","139.6","175.8","201"
"43","Batrachoseps diabolicus","228","377.5","440","473.3","536","964","13","15","15","15.08","15","16","13","15","15","15.47","16","18","43","45.5","47","46.64","48","49","640","648","657","660.6","672.5","696","30","31","31","31.09","31","32","-4","-2","-2","-2.084","-2","0","30","32","33","33.21","34","36","6","8","9","8.445","9","10","22","23","23","23.21","24","24","22","23","24","23.58","24","25","6","7","8","7.546","8","8","630","769.5","819","822.8","871","1017","109","139.5","151","150.3","160.5","186","1","2","3","3.109","4","5","84","84","85","85.02","86","87","313","383.5","416","412.8","437","503","9","12","15","14.41","16","19","14","19.5","23","22.72","26","31","306","376.5","404","403.4","427.5","497"
"44","Batrachoseps gabrieli","544","1066","1387","1425","1750","2310","9","11","13","12.86","14","18","12","13","14","14.17","15","16","43","44","47","46.76","49","52","539","590","619","618.1","655","684","24","27","29","28.28","29","35","-6","-4","-2","-2.069","0","2","28","29","30","30.21","31","33","2","4","7","6.655","9","12","14","20","21","20.34","22","24","17","20","21","21.1","22","27","2","4","6","6.172","8","11","228","454","652","610.2","766","843","43","86","125","114.5","145","156","1","2","2","2.448","3","5","72","84","86","85.55","88","89","115","248","356","326.9","408","446","9","12","14","16.97","21","37","17","23","30","32.69","42","60","114","233","340","313","396","427"
"45","Batrachoseps gavilanensis","1","219","409","432.7","605","1358","11","14","14","14.39","15","18","9","14","17","16.26","18","20","47","53","56","55.99","59","66","195","416","490","487.6","570","714","21","27","29","28.74","31","36","-4","-2","-1","-0.5008","1","5","15","25","31","29.25","33","37","5","9","10","9.442","10","12","15","18","20","20.17","21","27","16","19","21","20.61","22","27","5","8","9","8.786","10","11","202","367.5","445","480.9","569.5","1043","40","71.5","87","93.68","112","200","0","1","1","1.326","2","4","83","88","89","89.65","91","96","109","201","240","258.1","306.5","546","2","4","5","5.924","7","17","3","10","13","12.72","15","29","109","194","234","253","299.5","540"
"46","Batrachoseps gregarius","101","244","470","523.3","738","1679","10","15","17","16.3","17","19","12","15","16","15.59","16","19","41","44","45","45.31","46","53","592","691","712","703.5","726","745","25","32","34","33.2","34","37","-3","-2","-1","-1.166","-1","1","27","33","35","34.38","35","38","4","9","10","9.43","11","11","17","24","26","25.07","26","28","18","24.5","26","25.24","26","28","4","8","9","8.322","9","10","228","361","474","520.7","666","1036","43","67","89","97.29","127","191","0","1","1","1.118","1","6","78","83","85","84.43","86","88","120","192.5","250","272.8","350","531","3","6","7","8.1","10","25","3","6","13","12.84","19","36","104","177","237","260.3","338","518"
"47","Batrachoseps incognitus","58","329.5","387","400.1","517.5","720","12","13","13","13.33","14","14","8","11","12","11.35","12","14","48","52","55","55.6","59","67","163","277","368","345.2","417.5","457","19","23","24","23.79","25","27","1","2","2","3.209","5","7","12","18","21","20.53","23","26","9","9","10","9.767","10","12","14","16","17","17.19","18","19","15","17","18","17.7","19","20","8","9","9","9.488","10","12","456","533","595","591.1","644.5","718","94","109.5","119","118.9","128.5","142","1","1","1","1.093","1","2","92","93","94","93.81","95","96","267","308.5","332","334.1","359.5","396","5","5","6","6.14","7","9","13","14","15","17.33","17","42","253","294","323","322","349.5","393"
"48","Batrachoseps kawia","419","1537","2308","2121","2776","3296","0","3","6","7.265","11","17","10","12","12","12.45","13","15","37","40","41","41.3","43","45","612","643.5","663","662.6","674.5","725","16","19","22","23.25","26","34","-13","-10","-8","-6.904","-3","0","26","29","30","30.24","31","35","-7","-3.5","-1","0.4458","4","10","9","11","14","15.37","19","26","10","12","15","16.06","19","26","-7","-4","-1","0.1084","4","9","441","604.5","668","663.8","744.5","812","87","114","128","124.5","136","155","1","3","7","6.723","10","14","65","75","79","78.36","84","86","240","301.5","338","331.7","359.5","411","7","14.5","25","26.14","35.5","55","7","26.5","41","40.06","52","73","224","294.5","337","324.9","358.5","406"
"49","Batrachoseps luciae","66","426","665","644.3","842","1249","11","12","12","12.22","13","13","7","9","11","10.78","12","14","49","53","54","54.61","56","64","162","297","367","342.4","408","438","19","22","23","22.61","24","26","-1","1","2","2.785","5","7","13","17","21","19.85","23","25","6","8","9","8.677","10","11","14","15","16","15.99","17","18","15","16","17","16.78","17","19","6","8","8","8.645","10","11","644","810","892","887.6","973","1098","124","157","172","171.7","189","209","2","2","3","2.828","3","4","89","91","91","91.16","92","93","344","431","470","469.2","514","571","7","9","12","11.73","13","18","13","17","20","21.29","22","62","344","430","470","467.9","511","565"
"50","Batrachoseps major","1","159","362.5","452.5","684.8","2409","10","16","17","16.85","18","23","7","13","14","14.43","16","20","43","53","55","54.41","56","60","231","369","438","443.7","515","734","24","29","30","30.63","32","41","-5","2","5","4.094","6","10","16","23.25","26","26.55","29","37","4","11","13","12.26","13","16","10","19","21","20.82","22","29","17","22","23","22.79","24","32","4","11","13","11.99","13","15","99","288","325","328.8","365","722","22","56","62","64.65","74","122","0","1","1","1.247","2","4","59","81","89","86.33","93","103","53","158","180","183.7","211","365","2","6","8","9.704","12","36","6","12","16","22.67","27","110","51","149","169","172.2","196","348"
"51","Batrachoseps minor","51","270","345","341.8","415.5","616","13","14","14","14.25","15","15","12","13","15","15.43","18","19","53","56","57","57.37","58","65","252","384.5","456","435.4","501.5","546","24","25.5","27","27.71","30","31","-2","-1","1","0.8095","2","5","20","23.5","27","27.06","31.5","33","9","10","10","10.05","10","12","17","18","19","19.51","21","22","18","19","20","19.87","21","22","8","9","9","9.317","9","12","377","444","508","494.4","538.5","635","81","93.5","106","103.8","113","126","0","1","1","0.9841","1","1","93","96","97","96.94","98","99","230","267","300","295.1","322","359","3","4","5","4.667","5","7","11","13","13","13.22","14","17","215","249","282","277.2","301.5","340"
"52","Batrachoseps nigriventris","4","248.2","455","575.7","808","2379","7","14","15","14.81","16","19","9","14","14","14.67","16","20","43","52","55","55.37","58","70","160","354","465","453.1","559","692","21","27","28","28.46","31","35","-7","-1","2","1.72","4","9","15","23","27","26.75","30","37","1","9","10","10.27","12","15","14","19","20","20.19","22","25","15","19","21","20.76","22","25","1","8","10","9.792","12","15","302","408","461","463.9","511","809","57","86","95","95.4","104","151","0","0","1","0.8338","1","7","84","92","95","95.43","98","110","164","239","267","267.5","294","414","2","4","5","5.359","6","28","3","10","12","12.4","14","41","151","229","254","255.4","281","394"
"53","Batrachoseps pacificus","32","129.8","180","181.6","220","398","14","14","15","14.61","15","15","9","10","10","10.18","10.25","11","58","60","61.5","61.32","62","66","158","195.5","213","216.2","241.2","270","22","23","23","23.32","24","24","6","6","7","6.643","7","8","15","16","17","16.64","17","18","12","12","12","12.43","13","13","14","15.75","16","16.21","17","18","16","17","17.5","17.46","18","19","12","12","12","12.32","13","13","376","396.5","413","414.5","430.8","448","79","84","85.5","86.21","88","94","1","1","1","1.036","1","2","90","96","99.5","98.43","101","104","225","240","246","246.9","254.2","268","3","4","5","4.964","6","9","8","15.75","19","17.79","21.25","28","202","226","229","231.5","235.5","268"
"54","Batrachoseps robustus","1029","1790","1974","2017","2304","2811","4","7","9","9.195","11","15","11","13","13","13.36","14","16","36","40","41","41.05","42","44","671","698.5","710","713.1","727","767","20","24","26","25.97","28","33","-13","-8","-7","-6.644","-4","-1","29","31.5","32","32.56","34","37","-4","-1","1","1.23","3.5","8","10","15","17","16.62","18","22","13","16","18","18.23","20","25","-4","-1","1","1.023","3","7","241","385.5","461","454","528.5","605","43","66","81","80.08","93.5","110","2","5","6","6.195","7","10","69","73.5","75","74.61","76","79","120","189","228","224","260.5","298","12","22","26","26.61","31","43","15","32","36","37.21","44","59","119","188.5","228","223.7","260.5","298"
"55","Batrachoseps simatus","898","1263","1568","1665","1884","2727","6","9","10.5","10.25","12.25","14","9","13.5","14","13.42","14.25","16","34","42.25","46","44","47.25","48","596","609","651.5","644.8","676.8","681","20","25.75","26.5","26.17","28","31","-8","-7","-4.5","-4.5","-2","-1","27","29.75","30.5","30.67","32","34","-1","1.75","3.5","3.583","6.25","8","14","18","18.5","18.5","20.25","22","15","18","19","18.92","20.25","23","-1","1.75","3.5","3.333","6","7","369","491","561.5","544.9","579","714","67","86","100","98.75","108.2","129","1","2","2.5","3.833","4.25","10","76","80.75","81","80.58","82","82","189","245.2","281.5","273.8","294","350","11","12","17","19.08","20.75","37","19","20","25.5","29","32","53","179","236","276","269.7","294","350"
"56","Batrachoseps stebbinsi","638","1063","1181","1407","1582","2824","3","11","13","11.76","14","16","12","14","14","14.1","15","15","40","45","45","45.05","46","48","597","628","642","647.7","672","705","19","27","29","27.9","30","33","-11","-3","-2","-3.286","-1","0","29","31","31","31.24","32","34","-4","6","7","5.429","8","9","12","19","21","19.95","22","25","12","19","21","20.24","22","25","-4","5","6","4.714","7","8","273","306","351","394","435","639","53","57","62","70.81","73","115","1","2","2","3.095","2","10","72","78","80","80.29","82","89","144","157","177","196.2","210","309","6","8","11","14.52","13","41","8","13","17","21.24","19","57","125","142","171","188.8","210","309"
"57","Batrachoseps wrighti","92","772","995","976.4","1192","2291","1","7","8","7.613","9","11","6","9","10","10.02","11","12","31","40","41","41.1","43","46","445","512","541","544.6","576","660","11","18","19","19.13","20","24","-10","-7","-5","-5.264","-4","-2","18","23","24","24.36","26","30","-3","1","2","2.085","3","5","7","13","14","14.38","16","19","7","14","15","14.75","16","19","-4","0","2","1.625","3","4","728","1644","1955","1889","2147","2578","134","270","317","308.1","347","419","8","23","25","25.4","28","40","54","63","64","63.97","65","77","385","771","910","881","992","1190","41","117","137","133.4","153","193","41","122","146","141.4","163","198","360","710","845","818","926","1088"
"58","Bolitoglossa adspersa","1193","2562","2762","2771","3068","3898","6","11","13","12.64","14","22","6","8","9","8.76","10","11","69","81","86","84.97","90","94","23","32","36","37.7","43","66","10","16","18","17.56","19","26","0","6","7","7.284","8","17","8","9","10","10.29","11","13","5","11","13","12.59","14","22","6","11","13","12.67","14","22","6","11","13","13.13","15","22","5","10","12","12.24","14","21","895","1124","1274","1378","1603","2428","111","156","179","198.9","226.8","393","8","25","34","39.32","50","112","23","36","44","43.84","50","80","305","395.2","455","506.9","571","1059","49","121.2","151","166.6","201","383","183","295.2","359","369.6","434","671","180","269.2","345","407.7","485","1059"
"59","Bolitoglossa alberchi","12","441","731","672.9","902","1487","20","23","23","23.44","24","26","8","10","10","10.28","11","12","53","57","63","62.4","67","71","138","180","196","198.7","219","243","27","31","32","31.48","33","35","12","14","15","15","16","17","14","16","17","16.41","17","18","21","24","25","24.67","26","27","19","22","23","22.9","24","25","21","24","25","25.51","27","29","17","20","21","20.68","21","23","916","1165","1564","1629","1996","2831","178","208","263","279.8","334","477","7","18","24","25.26","31","63","51","61","71","71.02","77","102","485","560","716","753.7","906","1327","22","72","98","102.4","127","234","258","304","400","435.2","548","815","22","132","207","201.8","268","432"
"60","Bolitoglossa alvaradoi","44","278.2","601","612.3","890.5","1708","17","22","23","23.14","25","26","8","8","8","8.398","9","10","76","78","79","79.25","81","84","61","67.25","71","71.51","76","82","23","27","29","28.61","30.75","32","12","16","18","17.89","20","21","10","11","11","10.76","11","12","17","22","23","23.11","25","26","18","22","24","23.65","26","27","18","22.25","24","24.07","26","27","17","21","22","22.25","24","25","2827","3281","3478","3453","3647","4071","324","371","409.5","406.2","440.8","480","57","97.25","118","117.3","138","171","22","31","35","34.97","39","47","947","1044","1160","1136","1220","1369","249","368.2","430","423.7","485","596","388","514","569","562.6","614.8","1047","596","822.2","923.5","921.8","1014","1114"
"61","Bolitoglossa biseriata","5","54","109","184.5","261","1311","20","25","26","25.67","26","28","6","7","8","7.617","8","10","71","82","87","85.54","90","93","23","27","35","39.88","49","80","25","30","30","30.3","31","33","14","21","22","21.39","22","23","8","8","9","8.874","9","11","19","25","26","25.38","26","27","20","26","26","25.86","26","28","20","26","26","26.2","27","28","19","25","26","25.25","26","27","1799","2700","3253","4055","5673","7312","250","371","457","501.4","643","800","4","24","68","148.6","285","501","11","24","41","40","56","74","663","988","1216","1380","1775","2327","43","131","351","557","1024","1529","155","417","528","797.2","1269","1730","347","784","1140","1205","1657","2327"
