X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
4077.0,4077.0,train,1.1162738838991686E-4,18.408720134284078,0.5487068455954677
4079.0,4079.0,train,7.169156851233839E-5,10.798147678835702,0.4000989782098523
4080.0,4080.0,train,9.835226880514521E-5,15.065376006216376,0.5039199972603992
4081.0,4081.0,train,4.3178246940564316E-5,7.471981869571494,0.2649070633487528
4083.0,4083.0,train,3.6023740973167186E-5,6.561981267125882,0.22644902487721474
4084.0,4084.0,train,9.520497889327682E-6,1.5243117816184482,0.06560735358085978
4085.0,4085.0,train,1.4183569612447497E-4,30.92989714416036,0.6361274550834283
4086.0,4086.0,train,2.0864644354813417E-4,75.0092330770947,0.7739849216684467
4087.0,4087.0,train,1.1512405292347445E-4,19.573722583010067,0.5598153819940718
4089.0,4089.0,train,1.572433601616314E-4,39.83583411037864,0.6739718892890754
4090.0,4090.0,train,9.41077148313749E-5,14.195636297854271,0.4886824643540626
4091.0,4091.0,train,8.321996155146797E-5,12.435702583066758,0.44742199005511574
4092.0,4092.0,train,9.808171996712135E-5,15.009239489003013,0.5029624482073138
4093.0,4093.0,train,7.937048870434631E-5,11.890243475332488,0.4320506648892998
4094.0,4094.0,train,1.0950212564788871E-4,17.826603716639898,0.5418185826148058
4096.0,4096.0,train,6.963464850346672E-5,10.543215040006817,0.3912390682266963
4097.0,4097.0,train,5.6145763065560586E-5,9.004629423711043,0.3298045768302237
4098.0,4098.0,train,5.4364519684555314E-5,8.791354955184923,0.3212415091494175
4099.0,4099.0,train,5.402817582698448E-5,8.751082982685679,0.3196123471024971
4100.0,4100.0,train,2.2222645005783534E-5,4.285741439437193,0.14648714510435124
4101.0,4101.0,train,7.806573875210623E-5,11.70208461535122,0.4267442317219716
4102.0,4102.0,train,3.861398904732002E-5,6.923102303458655,0.2405995401383264
4103.0,4103.0,train,3.926389349624067E-5,7.008593796761779,0.24410915691978596
4104.0,4104.0,train,2.379483059805958E-5,4.55777107812971,0.1559981770338088
4105.0,4105.0,train,6.901037258175982E-5,10.468283697320018,0.38852428745195877
4106.0,4106.0,train,7.432296403472966E-5,11.188090611087441,0.4112456240209027
4107.0,4107.0,train,1.3524216159053646E-4,27.31054681326494,0.6186186110910715
4108.0,4108.0,train,1.3162907224973814E-4,25.79588354881747,0.6086694339170693
4109.0,4109.0,train,1.2072125641680862E-4,21.379436829528835,0.5770307595006855
4110.0,4110.0,train,1.2344561205735347E-4,22.35535516347321,0.5851648244030632
4111.0,4111.0,train,1.02133582364112E-4,16.064253832740768,0.5171116703843334
4112.0,4112.0,train,7.223236456011394E-5,10.881284668953418,0.40240690057328843
