x,y,species min
460.0,460.0,3.2233387E-5
461.0,461.0,5.2401025E-5
462.0,462.0,3.6335766E-7
463.0,463.0,2.262055E-6
464.0,464.0,4.9303303E-6
465.0,465.0,6.457812E-7
466.0,466.0,2.4514594E-7
467.0,467.0,2.8319464E-8
468.0,468.0,5.4281426E-4
469.0,469.0,4.349711E-6
470.0,470.0,0.005973386
471.0,471.0,3.326209E-4
472.0,472.0,1.0765785E-6
473.0,473.0,6.640332E-6
474.0,474.0,3.0403276E-4
475.0,475.0,1.4014244E-6
476.0,476.0,1.5158192E-4
477.0,477.0,5.0052518E-11
478.0,478.0,2.7791728E-8
479.0,479.0,7.579645E-6
480.0,480.0,1.2369986E-6
481.0,481.0,0.21940677
482.0,482.0,4.8148013E-7
483.0,483.0,2.1418454E-7
484.0,484.0,1.285236E-7
485.0,485.0,2.350757E-5
486.0,486.0,2.7404417E-4
487.0,487.0,5.839992E-4
488.0,488.0,0.002189723
489.0,489.0,7.6030224E-6
490.0,490.0,0.002358817
491.0,491.0,3.7759557E-6
492.0,492.0,5.896372E-11
493.0,493.0,1.8626188E-5
494.0,494.0,0.003509832
495.0,495.0,2.4091314E-6
496.0,496.0,6.421537E-4
497.0,497.0,0.39648005
498.0,498.0,4.85187E-8
499.0,499.0,3.8050515E-5
500.0,500.0,0.009033575
501.0,501.0,4.5199982E-8
502.0,502.0,9.397768E-7
503.0,503.0,1.4126734E-4
504.0,504.0,3.6816825E-6
505.0,505.0,3.348577E-11
506.0,506.0,2.3101707E-8
507.0,507.0,1.04277476E-10
508.0,508.0,2.282024E-9
509.0,509.0,4.929546E-5
510.0,510.0,7.894907E-7
511.0,511.0,1.463475E-4
512.0,512.0,1.2433695E-6
513.0,513.0,1.6338553E-10
514.0,514.0,7.313441E-6
515.0,515.0,8.1425846E-5
516.0,516.0,3.756795E-11
517.0,517.0,2.915959E-7
518.0,518.0,0.0012933848
519.0,519.0,1.7574872E-7
520.0,520.0,8.3785244E-7
521.0,521.0,3.3323035E-6
522.0,522.0,4.8617146E-8
523.0,523.0,1.6753756E-5
524.0,524.0,5.9247186E-6
525.0,525.0,0.0066310205
526.0,526.0,7.056635E-4
527.0,527.0,7.9607116E-7
528.0,528.0,1.9818492E-6
529.0,529.0,0.78426224
530.0,530.0,1.1093697E-5
531.0,531.0,1.068906E-6
532.0,532.0,5.1461404E-7
533.0,533.0,7.4685836E-6
534.0,534.0,0.09481644
535.0,535.0,2.5797695E-5
536.0,536.0,1.6487078E-10
537.0,537.0,1.694211E-9
538.0,538.0,7.8279373E-7
539.0,539.0,6.710304E-8
540.0,540.0,0.001008702
541.0,541.0,1.0098836E-4
542.0,542.0,6.515607E-8
543.0,543.0,6.7389505E-5
544.0,544.0,1.3863246E-4
545.0,545.0,0.0017550663
546.0,546.0,5.846046E-11
547.0,547.0,4.748297E-8
548.0,548.0,7.573442E-11
549.0,549.0,0.093844794
550.0,550.0,7.459375E-8
551.0,551.0,3.4332341E-9
552.0,552.0,1.5634591E-6
553.0,553.0,5.560852E-7
554.0,554.0,8.5825275E-4
555.0,555.0,1.4811072E-4
556.0,556.0,0.014123939
557.0,557.0,0.0027131226
558.0,558.0,6.656931E-8
559.0,559.0,2.3567534E-6
560.0,560.0,1.1398857E-6
561.0,561.0,1.0526851E-5
562.0,562.0,9.796365E-5
563.0,563.0,1.05505556E-7
564.0,564.0,4.940592E-4
565.0,565.0,4.93889E-6
566.0,566.0,9.4292926E-7
567.0,567.0,3.8856502E-5
568.0,568.0,0.66330206
569.0,569.0,9.9078825E-9
570.0,570.0,7.5608314E-6
571.0,571.0,8.809143E-4
572.0,572.0,1.7839596E-4
573.0,573.0,9.6740205E-6
574.0,574.0,2.2888644E-5
575.0,575.0,2.8256417E-7
576.0,576.0,3.860415E-5
577.0,577.0,1.6738846E-5
578.0,578.0,1.026874E-6
579.0,579.0,1.348225E-4
580.0,580.0,1.7463749E-4
581.0,581.0,1.6830111E-6
582.0,582.0,8.920948E-6
583.0,583.0,5.6888505E-10
584.0,584.0,2.077491E-4
585.0,585.0,1.4721544E-8
586.0,586.0,6.045133E-6
587.0,587.0,2.133664E-6
588.0,588.0,5.693951E-4
589.0,589.0,0.19089492
590.0,590.0,0.002401975
591.0,591.0,3.1697182E-6
592.0,592.0,7.3368644E-11
593.0,593.0,0.7978168
594.0,594.0,5.1100915E-8
595.0,595.0,4.256588E-4
596.0,596.0,2.1543062E-6
597.0,597.0,1.0972442E-5
598.0,598.0,2.8322247E-4
599.0,599.0,1.1720188E-7
600.0,600.0,4.6020727E-6
601.0,601.0,5.522591E-10
602.0,602.0,3.799335E-7
603.0,603.0,6.225799E-5
604.0,604.0,9.671374E-10
605.0,605.0,0.7556587
606.0,606.0,0.017812463
607.0,607.0,2.1421776E-8
608.0,608.0,1.0180949E-5
609.0,609.0,7.139721E-4
610.0,610.0,0.26060864
611.0,611.0,7.46325E-5
612.0,612.0,1.7077949E-9
613.0,613.0,7.1759726E-4
614.0,614.0,1.2205451E-8
615.0,615.0,3.1529824E-5
616.0,616.0,2.4706546E-6
